Female,Male,Other,Home Mortage,Home Owner,Rent,ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0.0,1.0,0.0,0.0,1.0,0.0,52.93,25.0,1.0,49.0,91107.0,4.0,1.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,45.0,19.0,34.0,90089.0,3.0,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,39.0,15.0,11.0,94720.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,35.0,9.0,100.0,94112.0,1.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,35.0,8.0,45.0,91330.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,37.0,13.0,29.0,92121.0,4.0,0.4,2.0,155.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,53.0,27.0,72.0,91711.0,2.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,50.0,24.0,22.0,93943.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,35.0,10.0,81.0,90089.0,3.0,0.6,2.0,104.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,52.93,34.0,9.0,180.0,93023.0,1.0,7.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,65.0,39.0,105.0,94710.0,4.0,2.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,29.0,5.0,45.0,90277.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,48.0,23.0,114.0,93106.0,2.0,3.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,59.0,32.0,40.0,94920.0,4.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,65.0,41.0,112.0,91741.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,52.93,60.0,30.0,22.0,95054.0,1.0,1.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,38.0,14.0,130.0,95010.0,4.0,4.7,3.0,134.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,52.93,42.0,18.0,81.0,94305.0,4.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,46.0,21.0,193.0,91604.0,2.0,7.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,55.0,28.0,21.0,94720.0,1.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,56.0,31.0,25.0,94015.0,4.0,0.9,2.0,111.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,57.0,27.0,63.0,90095.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,29.0,5.0,62.0,90277.0,1.0,1.2,1.0,260.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,44.0,18.0,43.0,91320.0,2.0,0.7,1.0,163.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,36.0,11.0,152.0,95521.0,2.0,3.9,1.0,159.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,43.0,19.0,29.0,94305.0,3.0,0.5,1.0,97.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,40.0,16.0,83.0,95064.0,4.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,46.0,20.0,158.0,90064.0,1.0,2.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,56.0,30.0,48.0,94539.0,1.0,2.2,3.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,59.0,35.0,35.0,93106.0,1.0,1.2,3.0,122.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,40.0,16.0,29.0,94117.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,53.0,28.0,41.0,94801.0,2.0,0.6,3.0,193.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,30.0,6.0,18.0,91330.0,3.0,0.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,31.0,5.0,50.0,94035.0,4.0,1.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,48.0,24.0,81.0,92647.0,3.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,59.0,35.0,121.0,94720.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,51.0,25.0,71.0,95814.0,1.0,1.4,3.0,198.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,52.93,38.0,13.0,80.0,94115.0,4.0,0.7,3.0,285.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,52.93,57.0,32.0,84.0,92672.0,3.0,1.6,3.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,52.93,34.0,9.0,60.0,94122.0,3.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,52.93,39.0,15.0,45.0,95616.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,52.93,46.0,20.0,104.0,94065.0,1.0,5.7,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,52.93,57.0,31.0,52.0,94720.0,4.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,52.93,39.0,14.0,43.0,95014.0,3.0,0.7,2.0,153.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,65.0,12.0,193.0,91380.0,4.0,0.2,3.0,211.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,56.0,26.0,81.0,95747.0,2.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,52.93,40.0,16.0,49.0,92373.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,52.93,32.0,8.0,9.0,92093.0,4.0,0.7,2.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,52.93,61.0,37.0,131.0,94720.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,53.0,30.0,6.0,72.0,94005.0,1.0,0.1,1.0,207.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,54.0,65.0,26.0,190.0,90245.0,3.0,2.1,3.0,240.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,55.0,29.0,5.0,44.0,95819.0,1.0,0.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,56.0,41.0,17.0,139.0,94022.0,2.0,7.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,57.0,55.0,30.0,29.0,94005.0,3.0,0.1,2.0,0.0,0.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,59.0,28.0,2.0,93.0,94065.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,60.0,31.0,5.0,188.0,91320.0,2.0,4.5,1.0,428.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,61.0,49.0,24.0,39.0,90404.0,3.0,1.7,2.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,62.0,47.0,21.0,125.0,93407.0,1.0,5.7,1.0,112.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,63.0,42.0,18.0,22.0,90089.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,64.0,42.0,17.0,32.0,94523.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,65.0,47.0,23.0,105.0,90024.0,2.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,66.0,59.0,35.0,131.0,91360.0,1.0,3.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,67.0,62.0,36.0,105.0,95670.0,2.0,2.8,1.0,336.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,68.0,53.0,23.0,45.0,95123.0,4.0,2.0,3.0,132.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,69.0,47.0,21.0,60.0,93407.0,3.0,2.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,70.0,53.0,29.0,20.0,90045.0,4.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,71.0,42.0,18.0,115.0,91335.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,72.0,53.0,29.0,69.0,93907.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,73.0,44.0,20.0,130.0,92007.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,74.0,41.0,16.0,85.0,94606.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,75.0,28.0,3.0,135.0,94611.0,2.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,77.0,58.0,32.0,12.0,91320.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,78.0,46.0,20.0,29.0,92220.0,3.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,80.0,50.0,26.0,19.0,94720.0,2.0,0.4,1.0,118.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,81.0,60.0,36.0,41.0,95134.0,4.0,1.3,1.0,174.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,82.0,47.0,22.0,40.0,94612.0,3.0,2.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,83.0,41.0,16.0,82.0,92507.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,84.0,33.0,9.0,50.0,94305.0,1.0,2.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,85.0,46.0,22.0,18.0,91730.0,1.0,0.9,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,86.0,27.0,2.0,109.0,94005.0,4.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,87.0,40.0,16.0,42.0,94501.0,4.0,2.2,2.0,126.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,88.0,48.0,22.0,78.0,94305.0,3.0,1.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,89.0,65.0,41.0,51.0,94117.0,2.0,1.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,90.0,25.0,-1.0,113.0,94303.0,4.0,2.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,91.0,25.0,30.0,118.0,90277.0,4.0,5.6,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,92.0,35.0,10.0,29.0,94105.0,4.0,1.1,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,93.0,43.0,19.0,34.0,94305.0,3.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,94.0,60.0,34.0,64.0,94550.0,2.0,1.7,3.0,236.0,0.0,1.0,0.0,1.0,0.0
